"Test","Status","Message","Detail","Fix"
"PowerShell Version","PASS","5.1.20348.4294","",""
"ActiveDirectory Module","PASS","Loaded","",""
"FailoverClusters Module","PASS","Version 2.0.0.0","",""
"Get-Cluster -Domain param","INFO","Available (newer module)","",""
"ImportExcel Module","PASS","Version 7.8.9","",""
"Hyper-V Module (local)","WARN","Not installed locally","Remote Invoke-Command still works; local Get-VM won't","Install-WindowsFeature Hyper-V-PowerShell (or RSAT equivalent)"
"Account Lockout","PASS","Not locked","",""
"Account Enabled","PASS","Enabled","",""
"Password Expired","PASS","Password valid","",""
"CredSSP Client","PASS","Enabled","Delegates to: wsman/*.ohdc.com",""
"Hyper-V Host Discovery","PASS","Found 25 hosts","",""
"Cluster Discovery","PASS","Found 22 cluster objects","",""
"Host: SV-OHDS-001","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: MHOH-SECVID-P1","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: CONOH-SECVID-P1","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: CENWA-SECVID-P1","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: MATTM-SECVID-P1","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: MAROH-SECVID-P2","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: RICTX-HV-T01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: LEWTX-TEST-SRV","FAIL","Not responding to ping","FQDN: LEWTX-TEST-SRV.ohdc.com","Verify host is powered on and network is reachable"
"Host: RICTX-HV-T02","FAIL","Not responding to ping","FQDN: rictx-hv-t02.ohdc.com","Verify host is powered on and network is reachable"
"Host: SWINGGEAR1","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: CONOH-HV-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: MAROH-HV-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: DALOH-HV-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: LEWPA-HV-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: LEWTX-ITCCS-P02","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: MTHOH-ITCCS-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: PENFL-HV-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: LEWTX-HV-SW02","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: LONNH-HV-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: MATMX-HV-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: MATMX-HV-P02","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: BLRKA-HV-P01","FAIL","Not responding to ping","FQDN: blrka-hv-p01.ohdc.com","Verify host is powered on and network is reachable"
"Host: RICTX-UCSHV-P1","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: RICTX-UCSHV-P8","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Host: DALTX-HV-P01","FAIL","The specified IdleTimeout session option 15 (seconds) is not a valid period.  Specify an IdleTimeout value that is greater than or equal to the minimum allowed 60 (seconds).","",""
"Cluster: APPSQLMSDTC","FAIL","An error occurred opening cluster 'APPSQLMSDTC'.","",""
"Cluster: Lestx-Testclus","FAIL","Check the spelling of the cluster name. Otherwise, there might be a problem with your network. Make sure the cluster nodes are turned on and connected to the network or contact your network administrator.","",""
"Cluster: MHOHSQLCLSP01","FAIL","An error occurred opening cluster 'MHOHSQLCLSP01'.","",""
"Cluster: RICTX-UCS-CLS","PASS","2 nodes","RICTX-UCSHV-P1, RICTX-UCSHV-P8",""
"Cluster: RICTXSQLP01ADMCLST","FAIL","An error occurred opening cluster 'RICTXSQLP01ADMCLST'.","",""
"Cluster: RICTXSQLP01CLS","FAIL","An error occurred opening cluster 'RICTXSQLP01CLS'.","",""
"Cluster: RICTXSQLP03ADMCLST","FAIL","Failed to retrieve the list of nodes for 'RICTXSQLP03ADMCLST'.","",""
"Cluster: RICTXSQLP03CLST","FAIL","An error occurred opening cluster 'RICTXSQLP03CLST'.","",""
"Cluster: RITHASCVMM","PASS","4 nodes","RITSCVMMP01, RITSCVMMP02, RITSCVMMP03, RITSCVMMP04",""
"Cluster: RITSCVMMCLS","PASS","4 nodes","RITSCVMMP01, RITSCVMMP02, RITSCVMMP03, RITSCVMMP04",""
"Cluster: RITSCVMMSOFS","PASS","4 nodes","RITSCVMMP01, RITSCVMMP02, RITSCVMMP03, RITSCVMMP04",""
"Cluster: SCVM-CLS-TST","PASS","2 nodes","RICTX-MM22-P01, RICTX-MM22-P02",""
"Cluster: SCVM-TEST","PASS","2 nodes","RICTX-MM22-P01, RICTX-MM22-P02",""
"Cluster: SQL2012MSMQ","FAIL","An error occurred opening cluster 'SQL2012MSMQ'.","",""
"Cluster: SQLAGLP01-ADM","FAIL","The name used to access to the cluster is not currently available. To connect now try using a cluster node name or any other name published by the cluster.","",""
"Cluster: SQLAGLP01-FGTS","FAIL","Check the spelling of the cluster name. Otherwise, there might be a problem with your network. Make sure the cluster nodes are turned on and connected to the network or contact your network administrator.","",""
"Cluster: SQLAGLP01-INFOR","FAIL","An error occurred opening cluster 'RICTXSQLP03CLST'.","",""
"Cluster: SQLAGLP01-USER","FAIL","An error occurred opening cluster 'RICTXSQLP03CLST'.","",""
"Cluster: SV-SQLCLUSTER01","FAIL","An error occurred opening cluster 'SV-SQLCLUSTER01'.","",""
"Cluster: Swing-cluster","FAIL","Check the spelling of the cluster name. Otherwise, there might be a problem with your network. Make sure the cluster nodes are turned on and connected to the network or contact your network administrator.","",""
"Cluster: WAC","FAIL","The name used to access to the cluster is not currently available. To connect now try using a cluster node name or any other name published by the cluster.","",""
"Cluster: WACCLS","PASS","3 nodes","MHOH-WAC-P01, MHOH-WAC-P02, MHOH-WAC-P03",""
"Sample Collection","SKIP","No accessible hosts with VMs found","",""
